Designator,Mid X,Mid Y,Layer,Rotation
REF**,-172.99901,-33.998998,bottom,0
REF**,-21.000997,-33.998998,bottom,0
REF**,-21.000997,-171.001012,bottom,0
J1,92.250004,-127.045008,top,90
J1,45.249997,-57.044998,top,90
J1,92.250004,-92.045003,top,90
J1,139.250011,-92.045003,top,90
J1,139.250011,-127.045008,top,90
J1,139.250011,-162.045013,top,90
J1,92.250004,-162.045013,top,90
J1,45.249997,-92.045003,top,90
J1,45.249997,-162.045013,top,90
J1,139.250011,-57.044998,top,90
J1,45.249997,-127.045008,top,90
J1,92.250004,-57.044998,top,90
J2,161.000011,-49.079998,top,90
J2,66.999997,-84.080003,top,90
J2,161.000011,-119.080008,top,90
J2,114.000004,-84.080003,top,90
J2,161.000011,-84.080003,top,90
J2,66.999997,-154.080013,top,90
J2,66.999997,-49.079998,top,90
J2,66.999997,-119.080008,top,90
J2,161.000011,-154.080013,top,90
J2,114.000004,-154.080013,top,90
J2,114.000004,-119.080008,top,90
J2,114.000004,-49.079998,top,90
J3,36.249997,-162.100013,top,-90
J3,130.250011,-57.099998,top,-90
J3,83.250004,-57.099998,top,-90
J3,130.250011,-127.100008,top,-90
J3,83.250004,-92.100003,top,-90
J3,83.250004,-127.100008,top,-90
J3,36.249997,-92.100003,top,-90
J3,36.249997,-57.099998,top,-90
J3,130.250011,-92.100003,top,-90
J3,130.250011,-162.100013,top,-90
J3,83.250004,-162.100013,top,-90
J3,36.249997,-127.100008,top,-90
R1,97.050004,-47.899998,top,-90
R1,144.050011,-47.899998,top,-90
R1,50.049997,-152.900013,top,-90
R1,50.049997,-47.899998,top,-90
R1,50.049997,-82.900003,top,-90
R1,97.050004,-152.900013,top,-90
R1,144.050011,-152.900013,top,-90
R1,144.050011,-82.900003,top,-90
R1,97.050004,-82.900003,top,-90
R1,50.049997,-117.900008,top,-90
R1,97.050004,-117.900008,top,-90
R1,144.050011,-117.900008,top,-90
R2,145.100011,-82.900003,top,-90
R2,98.100004,-117.900008,top,-90
R2,51.099997,-152.900013,top,-90
R2,145.100011,-47.899998,top,-90
R2,98.100004,-47.899998,top,-90
R2,51.099997,-82.900003,top,-90
R2,98.100004,-82.900003,top,-90
R2,51.099997,-117.900008,top,-90
R2,98.100004,-152.900013,top,-90
R2,145.100011,-152.900013,top,-90
R2,51.099997,-47.899998,top,-90
R2,145.100011,-117.900008,top,-90
R3,98.100004,-114.690008,top,90
R3,51.099997,-149.690013,top,90
R3,145.100011,-114.690008,top,90
R3,145.100011,-149.690013,top,90
R3,98.100004,-44.689998,top,90
R3,145.100011,-44.689998,top,90
R3,98.100004,-79.690003,top,90
R3,51.099997,-114.690008,top,90
R3,51.099997,-44.689998,top,90
R3,98.100004,-149.690013,top,90
R3,51.099997,-79.690003,top,90
R3,145.100011,-79.690003,top,90
R4,144.050011,-149.690013,top,90
R4,97.050004,-114.690008,top,90
R4,50.049997,-44.689998,top,90
R4,144.050011,-79.690003,top,90
R4,144.050011,-114.690008,top,90
R4,50.049997,-79.690003,top,90
R4,144.050011,-44.689998,top,90
R4,97.050004,-149.690013,top,90
R4,97.050004,-79.690003,top,90
R4,97.050004,-44.689998,top,90
R4,50.049997,-114.690008,top,90
R4,50.049997,-149.690013,top,90
REF**,144.500005,-58.998998,top,0
REF**,28.000998,-85.500001,top,0
REF**,59.499499,-76.001,top,0
REF**,59.499499,-111.001002,top,0
REF**,132.500502,-58.998999,top,0
REF**,165.999005,-120.500003,top,0
REF**,50.499998,-163.999006,top,0
REF**,50.499998,-111.001003,top,0
REF**,16.000997,-163.999015,top,0
REF**,131.500502,-163.999002,top,0
REF**,28.000997,-169.333678,top,0
REF**,97.500002,-146.001006,top,0
REF**,171.331676,-41.000998,top,0
REF**,38.500497,-163.999002,top,0
REF**,49.499998,-128.999003,top,0
REF**,18.501247,-163.999015,top,0
REF**,87.500501,-41.000998,top,0
REF**,20.16808,-41.000998,top,0
REF**,134.500502,-58.998999,top,0
REF**,71.998998,-121.500003,top,0
REF**,122.001006,-86.500001,top,0
REF**,109.499502,-58.998998,top,0
REF**,59.499499,-146.001003,top,0
REF**,87.500501,-163.999003,top,0
REF**,95.500002,-76.001001,top,0
REF**,87.500501,-58.998999,top,0
REF**,98.500002,-128.999004,top,0
REF**,49.499998,-76.001001,top,0
REF**,71.998998,-83.500001,top,0
REF**,154.499508,-128.999006,top,0
